node1,node2
level,garage
level,part
parking,garage
parking,part
parking,across
garage,part
garage,across
garage,site
part,across
part,site
part,presidential
across,site
across,presidential
across,center
across,will
across,build
site,presidential
site,center
site,will
site,build
site,critic
presidential,center
presidential,will
presidential,build
presidential,critic
presidential,complain
center,will
center,build
center,critic
center,complain
center,ground
will,build
will,critic
will,complain
will,ground
will,garage
build,critic
build,complain
build,ground
build,garage
build,green
critic,complain
critic,ground
critic,garage
critic,green
critic,roof
complain,ground
complain,garage
complain,green
complain,roof
ground,garage
ground,green
ground,roof
ground,count
garage,green
garage,roof
garage,count
garage,parkland
green,roof
green,count
green,parkland
roof,count
roof,parkland
roof,just
count,parkland
count,just
count,dismiss
count,contribution
parkland,just
parkland,dismiss
parkland,contribution
parkland,parking
just,dismiss
just,contribution
just,parking
just,garage
just,community
dismiss,contribution
dismiss,parking
dismiss,garage
dismiss,community
dismiss,whole
contribution,parking
contribution,garage
contribution,community
contribution,whole
parking,garage
parking,community
parking,whole
parking,dismiss
garage,community
garage,whole
garage,dismiss
garage,fact
community,whole
community,dismiss
community,fact
whole,dismiss
whole,fact
whole,willing
dismiss,fact
dismiss,willing
dismiss,pay
fact,willing
fact,pay
fact,long
willing,pay
willing,long
willing,way
willing,say
pay,long
pay,way
pay,say
pay,event
long,way
long,say
long,event
way,say
way,event
say,event
say,announce
event,announce
event,free
announce,free
announce,mobile
announce,device
announce,wireless
announce,package
free,mobile
free,device
free,wireless
free,package
free,public
mobile,device
mobile,wireless
mobile,package
mobile,public
mobile,high
device,wireless
device,package
device,public
device,high
device,school
wireless,package
wireless,public
wireless,high
wireless,school
wireless,student
package,public
package,high
package,school
package,student
package,green
public,high
public,school
public,student
public,green
public,roof
high,school
high,student
high,green
high,roof
school,student
school,green
school,roof
school,think
student,green
student,roof
student,think
student,also
green,roof
green,think
green,also
roof,think
roof,also
roof,long
think,also
think,long
think,way
think,toward
also,long
also,way
also,toward
also,meet
long,way
long,toward
long,meet
long,need
long,jebyrne@chicagotribune.com
way,toward
way,meet
way,need
way,jebyrne@chicagotribune.com
toward,meet
toward,need
toward,jebyrne@chicagotribune.com
meet,need
meet,jebyrne@chicagotribune.com
need,jebyrne@chicagotribune.com
author,decide
author,something
author,gender
decide,something
decide,gender
decide,gap
decide,come
decide,code
something,gender
something,gap
something,come
something,code
something,create
gender,gap
gender,come
gender,code
gender,create
gender,girl
gap,come
gap,code
gap,create
gap,girl
come,code
come,create
come,girl
come,program
code,create
code,girl
code,program
code,girl
create,girl
create,program
create,girl
create,start
girl,program
girl,girl
girl,start
girl,age
program,girl
program,start
program,age
program,learn
girl,start
girl,age
girl,learn
girl,inspire
start,age
start,learn
start,inspire
stalothing,rid
clothing,stand
clothing,water
clothing,tight
get,rid
get,stand
get,water
get,tight
get,fitting
rid,stand
rid,water
rid,tight
rid,fitting
rid,screen
stand,water
stand,tight
stand,fitting
stand,screen
stand,window
water,tight
water,fitting
water,screen
water,window
water,door
tight,fitting
tight,screen
tight,window
tight,door
fitting,screen
fitting,window
fitting,door
screen,window
screen,door
screen,gwong@chicagotribune.com
window,door
window,gwong@chicagotribune.com
door,gwong@chicagotribune.com
sight,set
sight,expansion
sight,beyond
sight,home
sight,base
set,expansion
set,beyond
set,home
set,base
expansion,beyond
expansion,home
expansion,base
expansion,hope
beyond,home
beyond,base
beyond,hope
beyond,capitalize
home,base
home,hope
home,capitalize
home,grow
base,hope
base,capitalize
base,grow
base,trend
hope,capitalize
hope,grow
hope,trend
hope,combine
hope,dining
capitalize,grow
capitalize,trend
capitalize,combine
capitalize,dining
capitalize,activity
grow,trend
grow,combine
grow,dining
grow,activity
grow,share
trend,combine
trend,dining
trend,activity
trend,share
trend,family
combine,dining
combine,activity
combine,share
combine,family
combine,group
dining,activity
dining,share
dining,family
dining,group
dining,friend
activity,share
activity,family
activity,group
activity,friend
share,family
share,group
share,friend
share,trend
family,group
family,friend
family,trend
group,friend
group,trend
friend,trend
trend,say
say,grow
say,technology
say,engulf
say,increasingly
grow,technology
grow,engulf
grow,increasingly
grow,desire
technology,engulf
technology,increasingly
technology,desire
technology,social
engulf,increasingly
engulf,desire
engulf,social
engulf,time
increasingly,desire
increasingly,social
increasingly,time
increasingly,involve
desire,social
desire,time
desire,involve
desire,screen
social,time
social,involve
social,screen
social,video
time,involve
time,screen
time,video
time,game
involve,screen
involve,video
involve,game
involve,console
involve,people
screen,video
screen,game
screen,console
screen,people
screen,socially
video,game
video,console
video,people
video,socially
video,connect
game,console
game,people
game,socially
game,connect
console,people
console,socially
console,connect
console,ever
people,socially
people,connect
people,ever
people,thanks
socially,connect
socially,ever
socially,thanks
socially,technology
connect,ever
connect,thanks
connect,technology
ever,thanks
ever,technology
ever,disconnect
thanks,technology
thanks,disconnect
thanks,ever
technology,disconnect
technology,ever
disconnect,ever
disconnect,say
disconnect,want
ever,say
ever,want
ever,respects
say,want
say,respects
say,back
say,future
want,respects
want,back
want,future
want,allow
respects,back
respects,future
respects,allow
respects,people
back,future
back,allow
back,people
back,gather
back,spend
future,allow
future,people
future,gather
future,spend
future,time
allow,people
allow,gather
allow,spend
allow,time
allow,together
people,gather
people,spend
people,time
people,together
gather,spend
gather,time
gather,together
gather,year
spend,time
spend,together
spend,year
spend,old
time,together
time,year
time,old
time,business
together,year
together,old
together,business
together,open
year,old
year,business
year,open
year,first
year,location
old,business
old,open
old,first
old,location
business,open
business,first
business,location
open,first
open,location
first,location
first,follow
location,follow
location,opening
follow,opening
neighborhood,first
neighborhood,location
neighborhood,outside
first,location
first,outside
first,area
first,open
location,outside
location,area
location,open
outside,area
outside,open
area,open
open,total
total,eight
total,location
total,across
total,country
total,last
eight,location
eight,across
eight,country
eight,last
eight,open
location,across
location,country
location,last
location,open
location,earlier
across,country
across,last
across,open
across,earlier
across,month
country,last
country,open
country,earlier
country,month
last,open
last,earlier
last,month
open,earlier
open,month
open,pace
earlier,month
earlier,pace
earlier,opening
month,pace
month,opening
month,pick
pace,opening
pace,pick
pace,plan
pace,open
opening,pick
opening,plan
opening,open
opening,four
pick,plan
pick,open
pick,four
pick,location
plan,open
plan,four
plan,location
plan,four
open,four
open,location
open,four
open,five
four,location
four,four
four,five
four,additional
location,four
location,five
location,additional
location,location
four,five
four,additional
four,location
five,additional
five,location
five,say
additional,location
additional,say
additional,planned
location,say
location,planned
location,future
say,planned
say,future
say,opening
say,range
planned,future
planned,opening
planned,range
future,opening
future,range
opening,range
suburb,rate
suburb,new
suburb,opening
suburb,continue
rate,new
rate,opening
rate,continue
rate,next
rate,year
new,opening
new,continue
new,next
new,year
opening,continue
opening,next
opening,year
opening,say
continue,next
continue,year
continue,say
next,year
next,say
next,scout
year,say
year,scout
year,urban
say,scout
say,urban
say,suburban
say,location
scout,urban
scout,suburban
scout,location
scout,tie
scout,lifestyle
urban,suburban
urban,location
urban,tie
urban,lifestyle
urban,shopping
suburban,location
suburban,tie
suburban,lifestyle
suburban,shopping
suburban,center
location,tie
location,lifestyle
location,shopping
location,center
location,say
tie,lifestyle
tie,shopping
tie,center
tie,say
tie,least
lifestyle,shopping
lifestyle,center
lifestyle,say
lifestyle,least
shopping,center
shopping,say
shopping,least
shopping,site
center,say
center,least
center,site
center,pipeline
say,least
say,site
say,pipeline
say,add
least,site
least,pipeline
least,add
site,pipeline
site,add
site,plan
site,eventually
pipeline,add
pipeline,plan
pipeline,eventually
pipeline,expand
add,plan
add,eventually
add,expand
add,overseas
plan,eventually
plan,expand
plan,overseas
plan,pinstripes
plan,feature
eventually,expand
eventually,overseas
eventually,pinstripes
eventually,feature
eventually,bowling
expand,overseas
expand,pinstripes
expand,feature
expand,bowling
expand,lane
overseas,pinstripes
overseas,feature
overseas,bowling
overseas,lane
overseas,indoor
pinstripes,feature
pinstripes,bowling
pinstripes,lane
pinstripes,indoor
pinstripes,outdoor
feature,bowling
feature,lane
feature,indoor
feature,outdoor
feature,bocce
bowling,lane
bowling,indoor
bowling,outdoor
bowling,bocce
bowling,court
lane,indoor
lane,outdoor
lane,bocce
lane,court
lane,bistro
indoor,outdoor
indoor,bocce
indoor,court
indoor,bistro
indoor,serve
outdoor,bocce
outdoor,court
outdoor,bistro
outdoor,serve
outdoor,italian
bocce,court
bocce,bistro
bocce,serve
bocce,italian
bocce,american
court,bistro
court,serve
court,italian
court,american
court,fare
bistro,serve
bistro,italian
bistro,american
bistro,fare
bistro,wine
serve,italian
serve,american
serve,fare
serve,wine
serve,beer
italian,american
italian,fare
italian,wine
italian,beer
italian,offering
american,fare
american,wine
american,beer
american,offering
american,end
fare,wine
fare,beer
fare,offering
fare,end
fare,day
wine,beer
wine,offering
wine,end
wine,day
wine,want
beer,offering
beer,end
beer,day
beer,want
beer,people
offering,end
offering,day
offering,want
offering,people
offering,connect
end,day
end,want
end,people
end,connect
end,high
day,want
day,people
day,connect
day,high
day,quality
want,people
want,connect
want,high
want,quality
want,way
people,connect
people,high
people,quality
people,way
people,say
connect,high
connect,quality
connect,way
connect,say
high,quality
high,way
high,say
high,sophisticated
quality,way
quality,say
quality,sophisticated
quality,fun
way,say
way,sophisticated
way,fun
way,sbomkamp@chicagotribune.com
say,sophisticated
say,fun
say,sbomkamp@chicagotribune.com
sophisticated,fun
sophisticated,sbomkamp@chicagotribune.com
fun,sbomkamp@chicagotribune.com
shutdown,huge
shutdown,raffle
shutdown,violate
huge,raffle
huge,violate
huge,long
raffle,violate
raffle,long
raffle,standing
raffle,little
violate,long
violate,standing
violate,little
violate,known
violate,state
long,standing
long,little
lport
burn,refuge
burn,fan
cinder,sport
cinder,refuge
cinder,fan
sport,refuge
sport,fan
sport,think
refuge,fan
refuge,think
refuge,politics
fan,think
fan,politics
fan,think
fan,sport
think,politics
think,think
think,sport
think,perhaps
politics,think
politics,sport
politics,perhaps
think,sport
think,perhaps
think,watch
sport,perhaps
sport,watch
sport,sport
perhaps,watch
perhaps,sport
perhaps,think
watch,sport
watch,think
watch,game
watch,field
watch,see
sport,think
sport,game
sport,field
sport,see
sport,great
think,game
think,field
think,see
think,great
think,athlete
game,field
game,see
game,great
game,athlete
game,impossible
field,see
field,great
field,athlete
field,impossible
field,thing
see,great
see,athlete
see,impossible
see,thing
see,help
great,athlete
great,impossible
great,thing
great,help
great,escape
athlete,impossible
athlete,thing
athlete,help
athlete,escape
athlete,day
impossible,thing
impossible,help
impossible,escape
impossible,day
impossible,work
thing,help
thing,escape
thing,day
thing,work
thing,bill
help,escape
help,day
help,work
help,bill
escape,day
escape,work
escape,bill
escape,pay
day,work
day,bill
day,pay
day,weed
work,bill
work,pay
work,weed
bill,pay
bill,weed
bill,pull
pay,weed
pay,pull
weed,pull
weed,fan
pull,fan
pull,ever
pull,think
fan,ever
fan,think
fan,politics
ever,think
ever,politics
ever,start
think,politics
think,start
think,swinging
politics,start
politics,swinging
politics,rebar
politics,deck
politics,circle
start,swinging
start,rebar
start,deck
start,circle
swinging,rebar
swinging,deck
swinging,circle
swinging,fan
rebar,deck
rebar,circle
rebar,fan
rebar,think
deck,circle
deck,fan
deck,think
circle,fan
circle,think
fan,think
fan,politics
think,politics
think,get
politics,get
politics,face
get,face
face,playoff
face,back
face,day
playoff,back
playoff,day
playoff,now
back,day
back,now
back,rookie
day,now
day,rookie
now,rookie
now,take
rookie,take
rookie,swing
rookie,wonder
take,swing
take,wonder
take,vote
swing,wonder
swing,vote
wonder,vote
make,perfect
make,long
make,diagonal
make,pass
make,think
perfect,long
perfect,diagonal
perfect,pass
perfect,think
perfect,view
long,diagonal
long,pass
long,think
long,view
long,viability
diagonal,pass
diagonal,think
diagonal,view
diagonal,viability
pass,think
pass,view
pass,viability
think,view
think,viability
think,last
view,viability
view,last
view,thing
viability,last
viability,thing
viability,want
last,thing
last,want
last,sport
last,remind
last,politics
thing,want
thing,sport
thing,remind
thing,politics
want,sport
want,remind
want,politics
want,spasm
sport,remind
sport,politics
sport,spasm
sport,stupidity
remind,politics
remind,spasm
remind,stupidity
remind,pull
politics,spasm
politics,stupidity
politics,pull
politics,live
spasm,stupidity
spasm,pull
spasm,live
spasm,sportscaster
spasm,job
stupidity,pull
stupidity,live
stupidity,sportscaster
stupidity,job
stupidity,worried
pull,live
pull,sportscaster
pull,job
pull,worried
pull,accuse
live,sportscaster
live,job
live,worried
live,accuse
live,intolerance
sportscaster,job
sportscaster,worried
sportscaster,accuse
sportscaster,intolerance
sportscaster,deceased
job,worried
job,accuse
job,intolerance
job,deceased
job,general
worried,accuse
worried,intolerance
worried,deceased
worried,general
worried,properly
accuse,intolerance
accuse,deceased
accuse,general
accuse,properly
accuse,terrified
intolerance,deceased
intolerance,general
intolerance,properly
intolerance,terrified
deceased,general
deceased,properly
deceased,terrified
deceased,climb
general,properly
general,terrified
general,climb
general,politically
properly,terrified
properly,climb
properly,politically
properly,correct
terrified,climb
terrified,politically
terrified,correct
terrified,cross
climb,politically
climb,correct
climb,cross
climb,wait
climb,turn
politically,correct
politically,cross
politically,wait
politically,turn
politically,sport
correct,cross
correct,wait
correct,turn
correct,sport
correct,smartphone
cross,wait
cross,turn
cross,sport
cross,smartphone
cross,ipad
wait,turn
wait,sport
wait,smartphone
wait,ipad
wait,big
turn,sport
turn,smartphone
turn,ipad
turn,big
turn,screen
sport,smartphone
sport,ipad
sport,big
sport,screen
sport,home
smartphone,ipad
smartphone,big
smartphone,screen
smartphone,home
smartphone,now
ipad,big
ipad,screen
ipad,home
ipad,now
ipad,turn
big,screen
big,home
big,now
big,turn
screen,home
screen,now
screen,turn
screen,will
home,now
home,turn
home,will
now,turn
now,will
now,think
turn,will
turn,think
turn,sport
will,think
will,sport
will,will
will,think
think,sport
think,will
think,think
think,career
think,burn
sport,will
sport,think
sport,career
sport,burn
sport,corporate
will,think
will,career
will,burn
will,corporate
will,hack
think,career
think,burn
think,corporate
think,hack
think,hide
career,burn
career,corporate
career,hack
career,hide
career,desk
burn,corporate
burn,hack
burn,hide
burn,desk
burn,scared
corporate,hack
corporate,hide
corporate,desk
corporate,scared
hack,hide
hack,desk
hack,scared
hack,shadow
hide,desk
hide,scared
hide,shadow
hide,might
desk,scared
desk,shadow
desk,might
desk,even
scared,shadow
scared,might
scared,even
scared,think
shadow,might
shadow,even
shadow,think
might,even
might,think
even,think
think,rat
rat,cage
rat,way
rat,sell
rat,cold
cage,way
cage,sell
cage,cold
cage,beer
way,sell
way,cold
way,beer
way,sexual
way,enhancement
sell,cold
sell,beer
sell,sexual
sell,enhancement
sell,drug
cold,beer
cold,sexual
cold,enhancement
cold,drug
cold,jskass@chicagotribune.com
beer,sexual
beer,enhancement
beer,drug
beer,jskass@chicagotribune.com
sexual,enhancement
sexual,drug
sexual,jskass@chicagotribune.com
enhancement,drug
enhancement,jskass@chicagotribune.com
drug,jskass@chicagotribune.com
novelty,fight
rely,boxing
rely,durable
rely,means
rely,promotion
boxing,durable
boxing,means
boxing,promotion
boxing,word
durable,means
durable,promotion
durable,word
durable,behavior
durable,concoct
means,promotion
means,word
means,behavior
means,concoct
means,racial
promotion,word
promotion,behavior
promotion,concoct
promotion,racial
promotion,rivalry
word,behavior
word,concoct
word,racial
word,rivalry
word,climate
behavior,concoct
behavior,racial
behavior,rivalry
behavior,climate
behavior,ripe
concoct,racial
concoct,rivalry
concoct,climate
concoct,ripe
concoct,exploit
racial,rivalry
racial,climate
racial,ripe
racial,exploit
racial,press
rivalry,climate
rivalry,ripe
rivalry,exploit
rivalry,press
rivalry,tour
climate,ripe
climate,exploit
climate,press
climate,tour
climate,stop
ripe,exploit
ripe,press
ripe,tour
ripe,stop
exploit,press
exploit,tour
exploit,stop
press,tour
press,stop
tour,stop
stop,say
say,dance
say,boy
say,subsequent
dance,boy
dance,subsequent
dance,tour
dance,stop
boy,subsequent
boy,tour
boy,stop
boy,follow
subsequent,tour
subsequent,stop
subsequent,follow
subsequent,criticism
tour,stop
tour,follow
tour,criticism
tour,remark
stop,follow
stop,criticism
stop,remark
follow,criticism
follow,remark
follow,explain
criticism,remark
criticism,explain
criticism,racist
remark,explain
remark,racist
remark,half
explain,racist
explain,half
explain,black
explain,belly
racist,half
racist,black
racist,belly
racist,button
racist,thrust
half,black
half,belly
half,button
half,thrust
half,pelvis
black,belly
black,button
black,thrust
black,pelvis
black,gesture
belly,button
belly,thrust
belly,pelvis
belly,gesture
belly,beautiful
button,thrust
button,pelvis
button,gesture
button,beautiful
button,black
thrust,pelvis
thrust,gesture
thrust,beautiful
thrust,black
thrust,female
pelvis,gesture
pelvis,beautiful
pelvis,black
pelvis,female
pelvis,fan
gesture,beautiful
gesture,black
gesture,female
gesture,fan
beautiful,black
beautiful,female
beautiful,fan
beautiful,since
black,female
black,fan
black,since
black,state
female,fan
female,since
female,state
female,many
fan,since
fan,state
fan,many
fan,people
since,state
since,many
since,people
since,believe
state,many
state,people
state,believe
state,racist
many,people
many,believe
many,racist
many,dedicated
people,believe
people,racist
people,dedicated
people,fight
believe,racist
believe,dedicated
believe,fight
believe,black
racist,dedicated
racist,fight
racist,black
racist,around
racist,woforget,purpose
forget,raise
forget,money
forget,government
purpose,raise
purpose,money
purpose,government
purpose,program
raise,money
raise,government
raise,program
raise,state
money,government
money,program
money,state
money,game
government,program
government,state
government,game
government,play
program,state
program,game
program,play
program,well
state,game
state,play
state,well
game,play
game,well
play,well
jurisdiction,decide
jurisdiction,spend
jurisdiction,money
jurisdiction,raise
decide,spend
decide,money
decide,raise
decide,lottery
spend,money
spend,raise
spend,lottery
spend,game
money,raise
money,lottery
money,game
money,funding
raise,lottery
raise,game
raise,funding
raise,college
lottery,game
lottery,funding
lottery,college
lottery,scholarship
lottery,spend
game,funding
game,college
game,scholarship
game,spend
game,money
funding,college
funding,scholarship
funding,spend
funding,money
funding,transportation
college,scholarship
college,spend
college,money
college,transportation
college,many
scholarship,spend
scholarship,money
scholarship,transportation
scholarship,many
scholarship,use
spend,money
spend,transportation
spend,many
spend,use
spend,general
money,transportation
money,many
money,use
money,general
money,state
transportation,many
transportation,use
transportation,general
transportation,state
transportation,program
many,use
many,general
many,state
many,program
use,general
use,state
use,program
general,state
general,program
state,program
will,relieve
will,senior
will,admiral
will,charge
will,service
relieve,senior
relieve,admiral
relieve,charge
relieve,service
senior,admiral
senior,charge
senior,service
admiral,charge
admiral,service
charge,service
charge,base
service,base
base,response
base,four
base,embarrassing
base,accident
response,four
response,embarrassing
response,accident
response,year
response,two
four,embarrassing
four,accident
four,year
four,two
four,kill
embarrassing,accident
embarrassing,year
embarrassing,two
embarrassing,kill
embarrassing,sailor
accident,year
accident,two
accident,kill
accident,sailor
accident,sea
year,two
year,kill
year,sailor
year,sea
year,two
two,kill
two,sailor
two,sea
two,two
kill,sailor
kill,sea
kill,two
kill,official
sailor,sea
sailor,two
sailor,official
sailor,say
sea,two
sea,official
sea,say
two,official
two,say
official,say
say,will
will,remove
will,job
will,formally
will,official
remove,job
remove,formally
remove,official
remove,say
job,formally
job,official
job,say
job,incident
formally,official
formally,say
formally,incident
formally,include
official,say
official,incident
official,include
official,deadly
official,collision
say,incident
say,include
say,deadly
say,collision
incident,include
incident,deadly
incident,collision
incident,destroyer
include,deadly
include,collision
include,destroyer
deadly,collision
deadly,destroyer
collision,destroyer
destroyer,much
much,heavier
much,oil
much,tanker
heavier,oil
heavier,tanker
oil,tanker
oil,accident
tanker,accident
tanker,destroyer
accident,destroyer
accident,rip
accident,open
destroyer,rip
destroyer,open
destroyer,larger
rip,open
rip,larger
rip,japanese
rip,container
rip,ship
open,larger
open,japanese
open,container
open,ship
open,seven
larger,japanese
larger,container
larger,ship
larger,seven
larger,sailor
japanese,container
japanese,ship
japanese,seven
japanese,sailor
japanese,kill
container,ship
container,seven
container,sailor
container,kill
ship,seven
ship,sailor
ship,kill
ship,disaster
seven,sailor
seven,kill
seven,disaster
seven,least
sailor,kill
sailor,disaster
sailor,least
kill,disaster
kill,least
kill,sailor
disaster,least
disaster,sailor
disaster,report
disaster,miss
least,sailor
least,report
least,miss
sailor,report
sailor,miss
sailor,dead
report,miss
report,dead
miss,dead
dead,commander
commander,say
say,commander
commander,since
commander,previously
commander,deputy
since,previously
since,deputy
since,chief
previously,deputy
previously,chief
previously,naval
previously,operation
previously,warfare
deputy,chief
deputy,naval
deputy,operation
deputy,warfare
deputy,system
chief,naval
chief,operation
chief,warfare
chief,system
chief,removal
naval,operation
naval,warfare
naval,system
naval,removal
naval,first
operation,warfare
operation,system
operation,removal
operation,first
operation,report
warfare,system
warfare,removal
warfare,first
warfare,report
system,removal
system,first
system,report
removal,first
removal,report
first,report
first,highest
report,highest
report,profile
highest,profile
highest,since
highest,disaster
highest,occur
profile,since
profile,disaster
profile,occur
profile,collision
since,disaster
since,occur
since,collision
since,shock
disaster,occur
disaster,collision
disaster,shock
disaster,good
occur,collision
occur,shock
occur,good
occur,seamanship
collision,shock
collision,good
collision,seamanship
collision,avoid
shock,good
shock,seamanship
shock,avoid
shock,collision
good,seamanship
good,avoid
good,collision
good,fundamental
good,expectation
seamanship,avoid
seamanship,collision
seamanship,fundamental
seamanship,expectation
seamanship,demand
avoid,collision
avoid,fundamental
avoid,expectation
avoid,demand
collision,fundamental
collision,expectation
collision,demand
fundamental,expectation
fundamental,demand
expectation,demand
expectation,chief
demand,chief
demand,naval
chief,naval
chief,operation
chief,announce
chief,order
naval,operation
naval,announce
naval,order
naval,operational
operation,announce
operation,order
operation,operational
operation,pause
announce,order
announce,operational
announce,pause
announce,across
order,operational
order,pause
order,across
order,globe
order,commander
operational,pause
operational,across
operational,globe
operational,commander
operational,take
pause,across
pause,globe
pause,commander
pause,take
pause,day
across,globe
across,commander
across,take
across,day
across,two
globe,commander
globe,take
globe,day
globe,two
globe,make
commander,take
commander,day
commander,two
commander,make
commander,sure
take,day
take,two
take,make
take,sure
take,sailor
day,two
day,make
day,sure
day,sailor
day,understand
two,make
two,sure
two,sailor
two,understand
two,fundamental
make,sure
make,sailor
make,understand
make,fundamental
make,good
sure,sailor
sure,understand
sure,fundamental
sure,good
sure,seamanship
sailor,understand
sailor,fundamental
sailor,good
sailor,seamanship
sailor,also
understand,fundamental
understand,good
understand,seamanship
understand,also
understand,direct
fundamental,good
fundamental,seamanship
fundamental,also
fundamental,direct
fundamental,four
good,seamanship
good,also
good,direct
good,four
good,star
seamanship,also
seamanship,direct
seamanship,four
seamanship,star
seamanship,officer
also,direct
also,four
also,star
also,officer
direct,four
direct,star
direct,officer
four,star
four,officer
star,officer
launch,separate
launch,review
launch,next
separate,review
separate,next
separate,month
review,next
review,month
review,assess
next,month
next,assess
next,culture
next,operation
next,readiness
month,assess
month,culture
month,operation
month,readiness
month,mission
assess,culture
assess,operation
assess,readiness
assess,mission
culture,operation
culture,readiness
culture,mission
culture,oversee
operation,readiness
operation,mission
operation,oversee
readiness,mission
readiness,oversee
mission,oversee
mission,part
oversee,part
oversee,role
part,role
part,commander
part,expand
role,commander
role,expand
role,scope
commander,expand
commander,scope
commander,scrutiny
commander,order
expand,scope
expand,scrutiny
expand,order
expand,second
scope,scrutiny
scope,order
scope,second
scope,step
scrutiny,order
scrutiny,second
scrutiny,step
order,second
order,step
order,review
second,step
second,review
second,will
step,review
step,will
step,include
review,will
review,include
review,force
will,include
will,force
will,will
include,force
include,will
include,include
force,will
force,include
force,deliberate
force,reset
will,include
will,deliberate
will,reset
will,ship
will,focus
include,deliberate
include,reset
include,ship
include,focus
include,navigation
deliberate,reset
deliberate,ship
deliberate,focus
deliberate,navigation
deliberate,maintain
reset,ship
reset,focus
reset,nade
say,still
say,block
still,block
still,around
block,around
slow,stop
slow,say
stop,say
handle,three
handle,car
handle,crash
three,car
three,crash
three,just
car,crash
car,just
car,north
